date,open,high,low,close,adjustedClose,volume,amount
2016-01-22,3114.9,3132.17,3053.96,3113.46,3113.46,89951087,96885673842
2016-01-25,3129.03,3149.33,3105.1,3128.89,3128.89,81540061,85777891364
2016-01-26,3099.6,3106.53,2934.65,2940.51,2940.51,126933921,127250652518
2016-01-27,2953.18,2963.54,2839.29,2930.35,2930.35,132229366,126997670778
2016-01-28,2909.33,2941.89,2841.84,2853.76,2853.76,99222756,95663874927
2016-01-29,2855.6,2965.31,2854.37,2946.09,2946.09,113304259,109462356680
2016-02-01,2939.04,2944.52,2869.56,2901.05,2901.05,86795342,82931453498
2016-02-02,2901.53,2972.43,2901.51,2961.33,2961.33,88601963,88740230428
2016-02-03,2931.29,2954.71,2909.9,2948.64,2948.64,77389000,74817092259
2016-02-04,2960.33,2999.21,2960.21,2984.76,2984.76,91779724,91550346872
2016-02-05,2982.06,2988.36,2962.85,2963.79,2963.79,76850808,77443222334
2016-02-15,2888.43,2961.49,2886.02,2946.71,2946.71,72919434,71285049141
2016-02-16,2962.19,3042.09,2962.19,3037.04,3037.04,112579643,112300492317
2016-02-17,3034.09,3065.78,3027.05,3063.32,3063.32,128291607,122279340234
2016-02-18,3079.53,3093.51,3049.84,3053.7,3053.7,124401464,122618612161
2016-02-19,3047.94,3065.97,3032.63,3051.58,3051.58,87338012,90849341804
2016-02-22,3083.93,3128.21,3071.33,3118.87,3118.87,140946968,141684080627
2016-02-23,3117.2,3119.22,3061.43,3089.36,3089.36,112567391,117476469063
2016-02-24,3077.61,3109.55,3055.25,3109.55,3109.55,111782650,112918607549
2016-02-25,3104.41,3104.44,2905.46,2918.75,2918.75,157829752,153493008194
2016-02-26,2942.1,2964.39,2902.95,2948.03,2948.03,106949729,102531571946
2016-02-29,2939.58,2939.87,2821.21,2877.47,2877.47,129341020,118440829598
2016-03-01,2881.34,2950.44,2863.32,2930.69,2930.69,116045918,110491037808
2016-03-02,2933.92,3054.72,2933.12,3051.33,3051.33,175972347,164025161471
2016-03-03,3050.39,3078.44,3040.25,3058.42,3058.42,173105744,165509087742
2016-03-04,3047.54,3101.66,3032.42,3093.89,3093.89,219172534,205520475543
2016-03-07,3109,3130.9,3083.58,3104.84,3104.84,132462037,127790344488
2016-03-08,3100.15,3109.25,3001.83,3107.67,3107.67,136235742,128758488144
2016-03-09,3045.92,3072.92,3020.13,3071.91,3071.91,111466245,106298652785
2016-03-10,3056.21,3074.16,3012.69,3013.15,3013.15,76072197,78180468559
2016-03-11,2990.21,3026.44,2982.17,3018.28,3018.28,73333564,74367296548
2016-03-14,3039.57,3106.8,3034,3065.69,3065.69,117108655,123539094703
2016-03-15,3061.34,3077.08,3028.58,3074.78,3074.78,98311941,101302845698
2016-03-16,3068.87,3100.35,3064.52,3090.03,3090.03,124736448,126128854001
2016-03-17,3096.81,3147.84,3077.57,3124.2,3124.2,121661777,136603715775
2016-03-18,3136.22,3197.67,3130.1,3171.96,3171.96,197302564,210017810346
2016-03-21,3203.29,3267.78,3198.36,3249.44,3249.44,233269464,256836636273
2016-03-22,3231.61,3249.68,3218.73,3225.79,3225.79,161020897,194211982989
2016-03-23,3217.73,3242.25,3202.98,3236.09,3236.09,125679286,155567074583
2016-03-24,3211.5,3221.91,3181.81,3181.85,3181.85,133131122,162436036415
2016-03-25,3176.81,3204.44,3174.32,3197.82,3197.82,97395330,115195604431
2016-03-28,3206.95,3229.62,3161.88,3169.73,3169.73,103441933,123844044128
2016-03-29,3171.31,3178.07,3122.76,3135.41,3135.41,97294747,113844280553
2016-03-30,3161.29,3216.68,3161.29,3216.28,3216.28,117802512,140721774451
2016-03-31,3229.2,3241.93,3208.66,3218.09,3218.09,121552074,147267617416
2016-04-01,3213.67,3222.61,3165.86,3221.89,3221.89,118122139,127050098456
2016-04-05,3211.3,3271.93,3205.21,3264.49,3264.49,146047772,159296543667
2016-04-06,3250.52,3267.64,3236.2,3257.53,3257.53,120196305,137206268587
2016-04-07,3266.29,3270.82,3208.64,3209.29,3209.29,112409467,128273067720
2016-04-08,3189.85,3197.77,3163.3,3185.73,3185.73,101005625,113920716519
2016-04-11,3213.51,3251.57,3213.51,3230.1,3230.1,125212709,142759491340
2016-04-12,3227.37,3232.26,3198.9,3218.45,3218.45,92869437,99086557951
2016-04-13,3237.86,3296.52,3237.86,3261.38,3261.38,195613866,200159601290
2016-04-14,3277.1,3286.07,3252.05,3275.83,3275.83,113157327,117989443450
2016-04-15,3279.86,3282.98,3261.73,3272.21,3272.21,99807529,107963982334
2016-04-18,3252.67,3252.67,3221.66,3228.45,3228.45,97090069,103956150095
2016-04-19,3243.97,3250.73,3221.58,3238.3,3238.3,80871440,90976236261
2016-04-20,3244.14,3248.42,3107.37,3181.03,3181.03,162207858,172324694469
2016-04-21,3160.8,3198.56,3150.94,3160.6,3160.6,104752651,110324379038
2016-04-22,3142.56,3175.38,3137.99,3174.9,3174.9,77078492,82442921903
2016-04-25,3164.74,3172.27,3137.11,3162.03,3162.03,67519351,74734848036
2016-04-26,3159.77,3181.1,3150.4,3179.16,3179.16,59020734,68871554173
2016-04-27,3181.93,3188.83,3162.69,3165.92,3165.92,60004147,70620405995
2016-04-28,3169.33,3174.77,3135.64,3160.58,3160.58,69870660,78876767222
2016-04-29,3153.54,3171.29,3149.4,3156.75,3156.75,58029776,70807704222
2016-05-03,3159.82,3218.49,3151.4,3213.54,3213.54,98164835,115733867591
2016-05-04,3203.47,3222.88,3198.29,3209.46,3209.46,90862408,97797134813
2016-05-05,3204.17,3217.28,3196.57,3213.92,3213.92,74733681,83946496908
2016-05-06,3213.14,3216.89,3130.15,3130.35,3130.35,108680240,119265216104
2016-05-09,3115.43,3115.43,3055.01,3065.62,3065.62,99230477,100409213488
2016-05-10,3055.21,3084.72,3055.18,3069.11,3069.11,68849935,70650764147
2016-05-11,3080.64,3102.88,3063.09,3082.81,3082.81,81794258,87323408342
2016-05-12,3059.38,3095.35,3035.02,3090.14,3090.14,78765726,81418792606
2016-05-13,3081.68,3103.1,3064.69,3074.94,3074.94,62629755,65850995649
2016-05-16,3064.53,3095.56,3053.66,3095.31,3095.31,59461856,64405200020
2016-05-17,3095.52,3105.2,3073.46,3086.02,3086.02,65278125,75389385458
2016-05-18,3071.53,3072.61,3039.46,3068.04,3068.04,82715369,88458847115
2016-05-19,3060.34,3086.98,3058.15,3062.5,3062.5,60444166,68679060392
2016-05-20,3047.78,3078.53,3041.52,3078.22,3078.22,56080842,65124251092
2016-05-23,3078.51,3098.48,3076.5,3087.22,3087.22,59697216,70337514484
2016-05-24,3083.24,3083.26,3052.59,3063.56,3063.56,58734385,61106015446
2016-05-25,3079.75,3089.1,3054.87,3059.23,3059.23,56652803,63316562530
