date,close,deviation60Pct,signal60,deviation200Pct,signal200,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1992-11-13,414.09,-46.462375,bottom,-53.795214,bottom,-3.102526,55.632953,125.630664,95.174962,-4.967519
1992-11-16,399.32,-48.737207,bottom,-57.487914,bottom,2.734483,56.853399,125.259123,102.39407,-1.452469
1992-11-17,393.52,-48.851152,bottom,-59.006927,bottom,11.173374,55.024961,131.021015,105.377109,1.379854
1992-11-18,407.61,-44.087366,bottom,-55.554431,bottom,33.818109,52.030437,132.715979,98.277766,-2.12458
1992-11-19,398.95,-45.042135,bottom,-57.760579,bottom,34.268355,57.335373,133.333082,102.581777,0.624138
1992-11-20,401.44,-43.144925,bottom,-57.198158,bottom,46.276283,55.334725,132.082542,101.325229,2.229474
1992-11-23,410.39,-39.70972,bottom,-55.059196,bottom,56.851185,57.823533,130.15775,96.934623,7.224835
1992-11-24,440.04,-31.613335,bottom,-48.169798,bottom,48.784752,50.038131,122.618141,83.665121,27.717935
1992-11-25,571.63,-4.75351,,-22.183857,bottom,23.381018,24.735689,93.515546,41.385162,-1.682907
1992-11-26,562.01,-5.716977,,-24.050671,bottom,36.328991,29.99418,88.911751,43.80527,11.24891
1992-11-30,724.6,20.225223,top,0.882909,,9.051865,4.41529,66.598049,11.5374,-13.713773
1992-12-01,716.74,19.238345,top,-0.464132,,5.059964,7.026077,62.562218,12.760555,-12.767531
1992-12-02,722.2,19.942659,top,0.043294,,-6.544357,6.086243,50.75497,11.908059,-13.427029
1992-12-03,808.2,30.721023,top,10.984428,,-25.668997,-3.501576,43.216961,-0.146003,-22.639198
1992-12-04,807.02,30.095825,top,10.530386,,-11.093558,0.866105,42.285899,0.869867,-22.526084
1992-12-07,793.25,28.094862,top,8.511663,,-11.784134,7.930448,37.928657,8.253388,-21.181217
1992-12-08,753.94,23.074509,top,3.160772,,-9.993129,11.690725,38.6388,13.897658,-17.07165
1992-12-11,722.28,19.393971,top,-1.761666,,-3.400754,30.250357,49.842979,35.324251,-5.543557
1992-12-14,705.07,17.141216,top,-4.402028,,3.704617,33.663634,58.199746,40.022976,-3.237976
1992-12-17,707.82,17.909037,top,-4.662666,,6.927162,40.737526,54.65043,53.489588,-1.368992
1992-12-21,731.68,21.261367,top,-1.803693,,3.442942,30.420846,48.171588,48.48431,-0.806363
1992-12-22,725.78,20.463034,top,-2.847187,,5.772699,36.290669,48.176798,49.691367,0.863898
1992-12-23,732.05,21.302513,top,-2.224864,,4.731572,38.353851,34.816124,48.409262,3.450584
1992-12-24,758.59,24.728752,top,1.08186,,2.833235,37.188579,24.712245,45.046731,-0.168734
1992-12-25,764.28,25.30186,top,1.571755,,6.307529,41.934231,22.483783,52.09609,-0.911969
1992-12-28,757.31,24.167749,top,0.403614,,12.567023,41.806623,22.185659,53.495926,1.348193
1992-12-29,768.91,25.422919,top,1.664483,,9.724611,44.383544,30.177127,55.867397,-0.180775
1992-12-30,767.52,24.95657,top,1.226323,,12.414406,51.027826,23.459534,66.575464,1.676829
1992-12-31,780.39,26.239231,top,2.624815,,13.083198,51.843127,20.510617,67.939107,4.311947
1993-01-04,814.04,30.034828,top,6.560446,,18.290694,46.854072,12.876753,60.997003,4.102992
1993-01-05,858.72,34.914367,top,11.589072,,13.949052,46.827573,9.809903,59.723775,-1.313583
1993-01-06,847.44,33.115904,top,9.961069,,18.930059,45.293727,10.791672,61.849806,2.540593
1993-01-07,868.97,35.064277,top,12.152217,,22.334377,47.20284,8.690876,60.324292,2.359115
1993-01-08,889.47,36.782534,top,14.154389,,17.89393,50.573325,17.503985,65.820095,9.887911
1993-01-11,977.42,45.368816,top,23.19811,,7.668287,39.747353,11.78035,50.899306,1.006732
1993-01-12,987.26,45.422535,top,23.80947,,0.461829,34.74209,22.701345,49.395296,0.462897
1993-01-13,1024.05,48.00294,top,27.055894,,1.8633,35.382141,19.377855,44.028124,-3.146331
1993-01-14,1086.43,52.607653,top,32.518849,,-1.126504,34.681825,10.237012,41.455961,-8.707418
1993-01-15,1063.76,49.147847,top,29.976386,,3.378216,35.260183,19.852163,44.470557,-6.761864
1993-01-18,1055.32,47.08993,top,28.753571,,9.667721,35.428419,18.705298,45.625971,-6.016185
1993-01-19,991.83,39.666273,top,22.164637,,14.828719,41.91337,25.415697,54.947925,5.190406
1993-01-20,1043.31,43.255646,top,26.809372,,13.865574,36.289341,15.213994,47.302336,2.96652
1993-01-21,1074.26,44.685801,top,29.299931,,17.405546,30.426005,12.985467,43.058477,2.424925
1993-01-22,1100.31,45.598571,top,31.254434,,17.487783,21.728992,11.589998,39.671547,4.549627
1993-01-27,1162.44,49.537844,top,36.275274,,11.22737,8.451926,5.042578,32.206393,-1.038333
1993-01-28,1150.37,46.92349,top,34.772829,,17.587973,20.376136,9.684448,33.593539,4.182133
1993-01-29,1198.48,49.369574,top,38.386164,,10.634795,11.152597,5.025603,28.230759,5.547026
1993-02-01,1278.5,54.007379,top,44.321723,top,8.589421,-6.359098,5.115993,20.204928,-6.161126
1993-02-02,1310.58,54.606366,top,46.255154,top,11.813396,-5.124591,3.954113,17.262586,-8.458087
1993-02-03,1300.56,52.003877,top,44.949579,top,11.183976,-5.434278,5.383895,18.166021,-7.752814
1993-02-04,1371.58,55.308435,top,49.68255,top,1.863569,-16.829364,-1.609583,12.04742,-15.489436
1993-02-05,1332.96,50.501549,top,46.273334,top,9.018473,-18.345652,1.918521,15.293782,-16.761193
1993-02-08,1393.17,52.903337,top,50.109826,top,9.813362,-14.125066,-2.981925,10.311017,-20.358607
1993-02-09,1474.92,56.477784,top,55.19177,top,2.580788,-25.951597,-17.255732,4.196838,-24.772869
1993-02-10,1454.46,53.033984,top,53.197137,top,3.349353,-20.154731,-15.403839,5.662583,-23.714643
1993-02-11,1397.38,47.105376,top,48.637304,top,7.633109,-10.205978,-18.366497,9.978674,-20.598549
1993-02-12,1458.76,49.389607,top,52.348071,top,2.7705,-16.540709,-19.542355,5.35112,-23.93951
1993-02-15,1536.82,52.510353,top,56.936214,top,-5.382324,-27.123406,-30.901213,-1.51872,-27.802866
1993-02-16,1513.48,48.957116,top,54.795823,top,-10.152976,-21.347279,-28.624712,-0.347543,-26.689484
1993-02-17,1504,46.367106,top,53.566971,top,-17.308772,-22.343448,-27.693331,0.280585,-26.227394
1993-02-18,1508.22,44.731547,top,53.250502,top,-6.708516,-24.162629,-24.772345,-0.562252,-26.433809
1993-02-19,1499.74,42.352668,top,52.105857,top,-11.27117,-24.403212,-25.045275,-2.897169,-26.017843
1993-02-22,1456.29,37.922298,top,48.625751,top,-19.379557,-33.963733,-24.482876,-3.153905,-28.797149
1993-02-23,1367.36,30.283534,top,41.845241,top,-9.365799,-34.205325,-19.043418,3.144746,-28.968962
1993-02-24,1264.96,21.469684,top,33.644707,,-2.658834,-27.902374,-9.769888,11.494435,-24.347805
1993-02-25,1410.36,31.236441,top,44.035523,top,-19.617527,-39.9971,-19.078062,-4.997306,-32.966051
1993-02-26,1339.88,25.108597,top,38.47192,,-18.863454,-25.359014,-15.807539,-5.827388,-29.43995
1993-03-23,971.25,-18.547545,bottom,5.517657,,-1.368393,24.066331,3.078008,33.576319,-4.668211
1993-03-24,956.97,-20.303034,bottom,4.161697,,-3.299501,24.493026,4.821427,35.569558,-3.245661
1993-03-25,945.42,-21.78437,bottom,3.074347,,0.191266,29.305411,5.4124,37.225783,-2.063633
1993-03-29,970.45,-19.840789,bottom,5.869375,,-2.354252,32.684284,0.735094,38.658354,-4.589623
1993-03-30,958.05,-21.376674,bottom,4.697449,,10.076566,35.286623,2.3805,42.314075,-3.354731
1993-03-31,925.91,-24.946002,bottom,1.418525,,17.194291,39.361214,6.28996,48.23255,1.954834
1993-04-01,947.23,-22.793581,bottom,3.816245,,26.840494,35.408087,3.418409,44.896171,-0.339939
1993-04-02,944.01,-23.269291,bottom,3.6008,,27.516242,36.420576,6.423657,45.390409,0.408894
1993-04-05,947.87,-22.97155,bottom,4.130846,,23.880513,35.530039,5.595499,44.798337,11.789591
1993-04-27,1363.44,10.040999,,39.910266,top,-9.396449,-31.206302,-52.294427,0.664496,-26.80646
1993-04-28,1372.5,10.606116,,40.427925,top,-9.603758,-32.119428,-52.520908,-0.999636,-27.471767
1993-04-30,1358.78,9.596158,,39.173454,top,-12.442403,-33.419485,-51.294742,-0.481314,-29.082707
1993-05-25,997.95,-15.257134,bottom,7.245956,,-7.204664,-1.699821,-2.417894,8.342101,-6.95125
1993-05-26,995.45,-15.168558,bottom,6.879788,,8.263192,-0.951826,-4.891424,8.614195,-6.717565
1993-05-27,963.61,-18.137703,bottom,3.568358,,5.519338,1.703938,0.507216,12.20307,-3.635288
1993-05-28,972.77,-16.994088,bottom,4.452969,,3.189839,3.422566,-2.733444,11.14652,-4.542698
1993-05-31,935.48,-20.505763,bottom,0.546317,,12.965153,6.911259,-4.621566,15.57703,-0.737589
1993-06-01,928.58,-20.941997,bottom,-0.191394,,14.602863,10.214183,-3.745871,16.435848,5.280105
1993-07-05,952.31,-15.739869,bottom,-0.483059,,-11.893879,-12.160342,-7.785569,-5.09498,-17.273787
1993-07-06,897.64,-21.052547,bottom,-6.486577,,-3.121842,-7.507165,0.0568,0.68513,-12.235417
1993-07-07,903.79,-19.813749,bottom,-5.903661,,-7.750202,-6.072559,-1.974465,-0.844223,-12.832627
1993-07-08,896.16,-20.081022,bottom,-6.837787,,-6.626589,-5.370649,-0.659418,-1.683851,-12.090475
1993-07-09,868.57,-22.68002,bottom,-10.037152,,-2.530098,-1.513871,2.723435,1.439147,-9.298042
1993-07-12,845.52,-24.790293,bottom,-12.789677,,-1.015165,4.594086,4.66071,4.701249,-6.825386
1993-07-13,870.05,-21.366591,bottom,-10.012712,,-7.372876,-0.920261,1.708216,1.749325,-9.45233
1993-07-14,836.39,-24.712934,bottom,-14.027961,,-2.991492,5.425284,5.944871,5.844164,-5.808295
1993-07-15,838.7,-23.767754,bottom,-13.834773,,-2.801487,8.929802,4.209649,9.340646,-6.067724
1993-07-16,846.87,-22.148541,bottom,-12.954939,,-4.01521,11.202641,2.508221,11.85424,-6.973916
1993-07-19,836.98,-22.51788,bottom,-14.218667,,-6.054323,20.154467,4.032389,22.329088,-5.874692
1993-07-20,808.21,-25.129087,bottom,-17.801711,,-2.074045,18.670231,6.176157,26.683659,-2.524096
1993-07-21,811.74,-23.789772,bottom,-17.44428,,-1.665805,15.510057,5.196816,26.132752,-2.947988
1993-07-22,815.53,-22.455677,bottom,-17.043097,,-1.092355,17.19206,4.950636,25.546577,-3.399017
1993-07-23,813.54,-21.805833,bottom,-17.359533,,7.974198,15.141814,2.633599,25.853677,-3.162721
1993-07-26,787.81,-24.085522,bottom,-20.637424,,6.803025,12.558716,6.366864,29.964078,0.483619
1993-07-27,791.62,-22.852792,bottom,-20.221084,,5.061597,12.211635,6.389327,29.338572,0.847629
1993-07-28,798.33,-21.254558,bottom,-19.445929,,6.33494,13.245983,4.161083,28.251475,1.044681
1993-07-29,806.67,-19.61215,bottom,-18.496485,,5.149782,11.381514,1.49374,26.925509,3.229325
1993-08-02,843.27,-14.144325,bottom,-14.327966,,4.860549,6.429613,-7.38608,21.416628,-1.251082
1993-08-03,832.72,-14.880311,bottom,-15.737323,,3.465062,7.288576,-6.748261,22.954895,1.991065
1993-10-18,835.25,-5.901333,,-22.977742,bottom,-6.208558,6.40071,7.499696,6.609997,-6.80874
1993-10-19,839.6,-5.479255,,-22.444318,bottom,-6.949919,4.737125,6.030509,6.057646,-7.291567
1993-10-21,832.25,-6.520291,,-23.232771,bottom,-0.91617,8.166719,7.543567,8.509462,-6.472815
1993-10-22,818.81,-8.171147,,-24.780598,bottom,-0.488484,12.158485,3.647799,12.928518,-4.937653
1993-10-25,784.97,-12.21138,,-28.887241,bottom,3.963857,19.057435,9.044933,20.994433,-0.839523
1993-10-26,783.23,-12.320402,,-28.964373,bottom,3.689873,20.136919,6.407718,22.307624,-0.619231
1993-10-27,778.38,-12.839277,,-29.449067,bottom,3.450904,20.264138,3.672822,23.069709,3.324854
1993-10-28,824.66,-7.014894,,-23.563001,bottom,-2.504858,17.938473,-2.710226,19.648097,-2.473747
1993-10-29,814.82,-8.150303,,-24.678567,bottom,-0.052786,16.956493,-0.238373,21.093002,-1.295992
1993-11-01,816.71,-7.845422,,-24.338183,bottom,2.452805,17.50589,2.716498,20.812773,-1.524409
1993-11-02,812.67,-8.204247,,-24.708448,bottom,4.037153,19.224545,0.395442,21.413366,-1.03486
1993-11-03,805.71,-8.957814,,-25.426899,bottom,3.351383,19.050845,0.828126,22.462176,-0.179965
1993-11-04,804.26,-8.98887,,-25.434506,bottom,5.327638,19.025591,1.767296,22.682963,1.259543
1993-11-05,814.39,-7.542569,,-24.020732,bottom,6.14109,18.579664,-1.875307,21.15694,2.30602
1994-02-01,755.15,-15.757704,bottom,-20.509784,,2.305212,-5.98643,-19.787458,5.65583,-5.810766
1994-03-07,718.4,-14.456403,bottom,-20.732771,,9.300443,-3.400716,-25.579071,10.50529,-3.343541
1994-03-08,711.27,-14.82735,bottom,-21.551947,,8.291642,-4.092334,-26.617457,11.61303,-4.009729
1994-03-10,698.89,-15.405399,bottom,-22.979516,bottom,10.47107,-3.136429,-24.18504,13.590121,-3.087753
1994-04-05,682.75,-12.718578,,-22.409138,bottom,-2.542485,-9.708693,-37.723321,-0.440864,-20.87294
1994-04-06,679.74,-12.800276,,-22.674415,bottom,-3.434604,-14.011435,-37.048946,-0.130932,-20.522553
1994-04-07,677.31,-12.743296,,-22.85137,bottom,-6.280473,-14.515064,-39.045235,0.22737,-20.23741
1994-04-08,678.85,-12.080265,,-22.447103,bottom,-7.978863,-15.444534,-43.685795,-1.950357,-20.418355
1994-04-11,659.05,-14.514059,bottom,-25.202433,bottom,-8.697689,-10.159955,-39.585361,0.995372,-18.027464
1994-04-12,665.61,-13.02767,,-24.013183,bottom,-15.028951,-11.858337,-43.294985,-1.3251,-18.835354
1994-04-13,656.79,-13.852018,,-25.127317,bottom,-19.535085,-12.061901,-43.297194,-3.153215,-17.745398
1994-04-14,636.08,-16.476864,bottom,-28.111413,bottom,-8.811534,-7.454101,-37.367637,-1.460508,-15.067287
1994-04-15,626.79,-17.452616,bottom,-29.362439,bottom,-10.189381,-5.614255,-38.113795,-1.150306,-13.808453
1994-04-18,604.15,-20.56013,bottom,-32.813399,bottom,-7.445818,-2.028209,-34.18762,2.554001,-10.578499
1994-04-19,572.73,-25.310002,bottom,-37.927686,bottom,1.213083,1.832152,-26.906345,8.18012,-5.67283
1994-04-20,540.24,-30.544436,bottom,-43.554021,bottom,10.241304,8.902389,-22.405097,14.686065,3.805716
1994-04-21,582.43,-22.523146,bottom,-35.841876,bottom,2.910379,2.004061,-34.151213,6.378449,-3.713751
1994-04-22,566.07,-24.806843,bottom,-38.49279,bottom,4.573439,3.741379,-34.985658,9.452895,-0.93098
1994-04-25,560.8,-25.100523,bottom,-39.242967,bottom,7.713604,5.153756,-33.670051,10.481455,3.373752
1994-04-26,579.72,-21.234859,bottom,-35.764688,bottom,6.64966,1.207065,-38.652432,6.875733,0.341544
1994-04-27,598.5,-17.548164,bottom,-32.412638,bottom,-1.28305,-3.578735,-45.188965,3.522139,-3.515455
1994-04-28,599.63,-16.84659,bottom,-32.080871,bottom,-2.333436,-4.479901,-49.990096,3.327052,-4.381035
1994-04-29,592.56,-17.546027,bottom,-33.11791,bottom,-1.849728,-8.502506,-45.648665,4.559876,-8.151073
1994-05-03,605.77,-14.952272,bottom,-30.766894,bottom,-1.730052,-8.526457,-44.356391,2.279743,-10.154019
1994-05-04,619.58,-12.376416,,-28.380744,bottom,-4.692129,-12.81643,-51.257026,-3.905872,-12.156622
1994-05-05,590.87,-16.689071,bottom,-32.993182,bottom,-1.48507,-7.791534,-55.320939,0.763281,-7.888368
1994-05-06,585.8,-17.085763,bottom,-33.717384,bottom,0.78049,-6.533547,-56.207699,1.63537,-7.091157
1994-05-09,581.7,-17.268364,bottom,-34.277182,bottom,1.851416,-6.890078,-26.64434,2.351728,-6.658071
1994-05-10,595.38,-14.498013,bottom,-31.819492,bottom,-0.565944,-11.677578,-31.936323,-0.194834,-11.021532
1994-05-11,591.18,-14.765274,bottom,-32.407226,bottom,-1.338462,-10.254901,-12.257732,0.514226,-10.389391
1994-05-12,582.16,-15.829973,bottom,-33.816548,bottom,1.429205,-10.716386,-3.387431,2.071595,-10.162155
1994-05-13,590.39,-13.989793,,-32.285314,bottom,0.646629,-13.751004,14.577009,0.648724,-12.84744
1994-05-16,592.57,-13.186804,,-31.78537,bottom,-0.833748,-18.592932,18.332796,0.278448,-16.966772
1994-05-17,592.02,-12.878548,,-31.700587,bottom,-0.263852,-18.760558,4.872421,0.371609,-17.105841
1994-05-18,583.32,-13.900437,,-33.021008,bottom,0.587996,-16.193824,23.74547,1.868614,-15.869506
1994-05-19,590.54,-12.248779,,-31.641543,bottom,-2.23982,-15.378949,15.465372,0.623158,-16.898093
1994-05-20,594.22,-11.215665,,-30.862037,bottom,-3.573583,-11.843747,14.89491,-0.632762,-17.412743
1994-05-23,587.65,-11.825347,,-31.812014,bottom,-7.670446,-15.667521,12.497794,0.478176,-16.489407
1994-05-24,590.46,-10.892392,,-31.17077,bottom,-5.966608,-17.016126,16.014253,-0.62663,-16.886834
1994-05-25,586.76,-11.088387,,-31.614118,bottom,-7.373834,-14.970108,21.161095,-1.584975,-16.362738
1994-05-26,577.46,-12.266712,,-33.034834,bottom,-5.495849,-14.325138,25.951219,-0.710006,-15.015759
1994-05-27,573.36,-12.567137,,-33.554494,bottom,-4.387083,-15.236457,21.915906,-2.982419,-14.408051
1994-05-30,544.26,-17.308046,bottom,-38.530477,bottom,-0.2373,-14.223625,22.530929,2.204829,-13.258369
1994-05-31,556.26,-14.708694,bottom,-36.104959,bottom,-4.881174,-16.86095,25.050113,-1.350088,-15.516126
1994-06-01,545.05,-16.313688,bottom,-37.840376,bottom,-2.1306,-15.198198,25.832685,0.678837,-14.099624
1994-06-02,546.58,-15.592039,bottom,-37.291065,bottom,-4.409922,-15.245977,27.866296,0.397014,-14.340078
1994-06-03,548.75,-14.803321,bottom,-36.643024,bottom,-6.436967,-17.996625,25.396745,-1.053303,-16.470159
1994-06-06,542.97,-15.404333,bottom,-37.432771,bottom,-9.851438,-21.351183,26.916819,-1.733061,-19.22574
1994-06-07,529.76,-17.18439,bottom,-39.631465,bottom,-7.648924,-17.747828,35.588182,0.717306,-17.211568
1994-06-08,533.56,-15.833904,bottom,-38.688068,bottom,-7.277385,-21.181746,38.653248,-1.07017,-19.088762
1994-06-09,523,-17.108085,bottom,-40.450391,bottom,-3.233359,-20.518907,41.269196,0.927342,-18.550669
1994-06-10,514.54,-18.034129,bottom,-41.827705,bottom,2.553885,-16.162533,47.836925,2.586777,-17.21149
1994-06-13,492.03,-21.765868,bottom,-46.037287,bottom,2.091664,-13.906609,64.798891,7.280044,-13.423978
1994-06-14,490.75,-21.367876,bottom,-46.038467,bottom,1.48058,-13.398852,71.672838,7.559857,-13.198166
1994-06-15,496.11,-19.612316,bottom,-44.69264,bottom,1.811713,-12.544672,63.007366,6.397775,-14.135978
1994-06-16,506.36,-16.961177,bottom,-42.396346,bottom,-1.186008,-15.928536,65.297175,4.244016,-15.874082
1994-06-17,527.85,-12.257523,,-38.003042,bottom,-6.966293,-24.311528,60.074269,-4.294781,-21.581889
1994-06-20,502.43,-16.586201,bottom,-42.679859,bottom,-6.22655,-23.059517,70.807217,0.54734,-20.593914
1994-06-21,498.07,-16.882384,bottom,-43.275284,bottom,-5.811432,-21.80768,72.993672,1.42751,-19.898809
1994-06-22,505.18,-14.893158,bottom,-41.569377,bottom,-7.601925,-24.88939,65.737907,-0.948177,-22.033731
1994-06-23,500.39,-15.258696,bottom,-42.254825,bottom,-6.416688,-27.285092,66.452341,-1.610744,-23.879374
1994-06-24,492.33,-16.274145,bottom,-43.605362,bottom,-7.147251,-30.273739,68.73722,-4.109033,-26.120691
1994-06-27,472.1,-19.815555,bottom,-47.51873,bottom,-7.364859,-22.922534,67.543134,-0.455412,-22.954882
1994-06-28,469.95,-19.619999,bottom,-47.689235,bottom,-5.768051,-18.968984,66.563087,-0.14044,-22.602405
1994-06-29,468.2,-19.36577,bottom,-47.790491,bottom,-8.114149,-23.242399,72.740002,0.232806,-22.313114
1994-06-30,469.29,-18.51407,bottom,-47.287858,bottom,-9.682852,-32.283428,67.145566,-2.326919,-27.590616
1994-07-01,458.37,-20.220252,bottom,-49.361408,bottom,-4.602875,-31.677527,63.811169,-3.220106,-27.150555
1994-07-04,438.58,-23.91744,bottom,-53.483787,bottom,-2.406863,1.596922,69.706126,1.609741,-23.863377
1994-07-05,443.61,-22.130451,bottom,-52.050641,bottom,-3.299949,-2.510917,67.371981,0.457609,-24.726674
1994-07-06,431.71,-24.142818,bottom,-54.472478,bottom,1.359689,19.178916,74.83025,21.141507,-22.65178
1994-07-07,425.98,-24.776585,bottom,-55.496298,bottom,1.357012,27.847862,67.825921,32.111836,-21.611343
1994-07-08,437.75,-21.443504,bottom,-52.471447,bottom,-5.595109,44.490545,59.183961,56.034266,-23.719018
1994-07-11,428.15,-23.048746,bottom,-54.3803,bottom,-7.061244,50.832337,50.073636,66.250146,-22.008642
1994-07-12,429.21,-22.2592,bottom,-53.829793,bottom,-6.928248,37.031831,43.105081,65.839566,-22.201253
1994-07-13,437.62,-19.897903,bottom,-51.58738,bottom,-10.533005,52.483967,52.263352,69.018783,-23.696358
1994-07-14,431.8,-20.897698,bottom,-52.607632,bottom,-12.542564,46.772858,48.158808,71.296897,-22.667902
1994-07-15,413.93,-24.595139,bottom,-56.510576,bottom,-12.928504,51.050185,53.260021,78.692049,-19.329355
1994-07-18,398.96,-27.751172,bottom,-59.856309,bottom,-6.089568,51.224831,57.782533,85.397032,-16.302386
1994-07-19,400.48,-26.862173,bottom,-59.136533,bottom,-2.972736,54.83806,46.155942,84.693368,-16.620056
1994-07-20,393.87,-27.933462,bottom,-60.460214,bottom,-5.954934,61.020592,52.188467,87.792927,-15.220758
1994-07-21,380.9,-30.583058,bottom,-63.458388,bottom,-11.415024,67.561449,48.126189,96.524022,-12.333946
1994-07-22,363.73,-34.432427,bottom,-67.705637,bottom,-8.551039,67.426102,54.057152,105.801006,-8.19564
1994-07-25,375.39,-30.569332,bottom,-64.200866,bottom,17.154597,59.677087,55.344318,99.408615,-11.047178
1994-07-26,388.75,-26.359955,bottom,-60.367021,bottom,10.690017,60.880048,61.491099,92.555627,-14.10418
1994-07-27,371.1,-30.184631,bottom,-64.661025,bottom,34.307165,64.273282,65.260304,101.713824,-10.018863
1994-07-28,339.81,-38.155861,bottom,-73.101923,bottom,50.448438,75.395701,83.83793,120.287808,-1.733322
1994-07-29,333.92,-39.057278,bottom,-74.480617,bottom,71.565198,75.070897,80.183827,124.173455,29.554983
1994-08-01,445.64,-9.735689,,-45.326773,bottom,46.828552,46.671081,43.181797,67.97415,-2.923885
1994-08-02,432.61,-12.149363,,-48.00673,bottom,36.242799,55.846926,48.640181,74.799473,20.889485
1994-08-03,522.98,7.054255,,-28.809391,bottom,34.66474,40.656079,25.879253,50.164442,7.608322
1994-08-05,683.04,33.505054,top,-1.799484,,0.96453,19.508912,-1.363493,21.54193,-8.998009
1994-08-08,711.8,37.223511,top,2.401837,,-6.66875,27.873163,-6.37184,32.145266,-12.674909
1994-08-09,621.58,23.569898,top,-11.033766,,10.877981,48.039859,14.331318,61.671868,7.126999
1994-08-10,739.66,40.43328,top,6.390225,,-1.99638,23.068071,-10.374546,35.862423,-9.974853
1994-08-11,689.31,33.050424,top,-0.595523,,8.246026,34.452853,-2.146741,45.786366,-3.399051
1994-08-12,689.66,32.780556,top,-0.447371,,3.447413,33.335612,2.862953,45.71238,-3.448076
1994-08-15,665.88,29.009583,top,-3.848739,,2.362689,42.641902,8.35576,53.176248,2.390821
1994-08-16,693.01,32.660601,top,0.234174,,3.069251,39.963292,2.658394,49.127718,-1.617581
1994-08-17,725.04,36.718889,top,4.815806,,-2.702244,29.606705,0.840549,42.539722,-5.963809
1994-08-18,748.56,39.345136,top,8.049624,,-3.580771,26.175984,-2.047374,38.061077,-8.918457
1994-08-19,713.85,34.134759,top,3.367247,,-0.906244,31.584857,-1.186531,44.774112,-4.489739
1994-08-22,681.8,29.090358,top,-1.130307,,4.14859,30.788581,3.577083,51.579642,3.506894
1994-08-23,714.61,33.273969,top,3.658529,,5.656895,24.652024,-2.470766,44.620142,-1.245435
1994-08-24,705.71,31.499445,top,2.507251,,10.689962,31.709118,-0.98255,46.444007,0.240892
1994-08-25,722.23,33.246558,top,4.901807,,8.992978,24.033293,-3.254985,43.094305,-2.051978
1994-08-26,707.41,30.663995,top,2.930953,,16.003213,20.417799,-2.146103,46.092082,0.46225
