date,close,ma60,ma200,deviation60Pct,deviation200Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
2018-03-19,4074.25,4126.589667,3909.22895,-1.276464,4.134653,-4.887988,-7.85989,-8.201659,0.084678,-7.9919
2018-03-20,4077.7,4128.129833,3912.18915,-1.229138,4.1436,-4.115976,-6.742109,-11.874973,-0.408318,-8.069745
2018-03-21,4061.05,4128.5585,3915.09225,-1.648675,3.660267,-5.526111,-7.679657,-11.071141,-1.002204,-7.692838
2018-03-22,4020.35,4128.3895,3917.7296,-2.651842,2.585666,-3.191922,-6.526791,-11.23898,-2.039872,-6.758367
2018-03-23,3904.94,4125.674333,3919.7656,-5.498706,-0.378944,-0.165055,-1.586161,-7.88394,0.855327,-4.002622
2018-03-26,3879.89,4122.7625,3921.7325,-6.071665,-1.072672,0.181027,-1.328148,-8.591144,1.506486,-3.382828
2018-03-27,3913.27,4120.624667,3923.9551,-5.163143,-0.272676,-1.306388,-4.115457,-10.276107,0.640641,-4.206968
2018-03-28,3842.72,4117.109667,3925.7043,-6.897093,-2.136533,0.315424,-2.259162,-10.512576,2.488342,-2.448266
2018-03-29,3894.05,4115.490333,3927.5052,-5.530824,-0.855467,-1.061585,-3.406052,-12.877756,1.137376,-3.734159
2018-03-30,3898.5,4113.483667,3929.1928,-5.367841,-0.784215,0.73272,-2.74346,-10.469666,1.021932,-3.844043
2018-04-02,3886.92,4111.084833,3930.74655,-5.606987,-1.12123,1.314224,-2.932265,-13.15032,1.322898,-3.557573
2018-04-03,3862.48,4107.336167,3932.187,-6.146522,-1.78863,0.931831,-0.735126,-12.480834,1.964023,-2.947329
2018-04-04,3854.86,4103.060667,3933.54995,-6.239851,-2.020762,0.421435,0.61602,-13.627827,2.165578,-2.755483
2018-04-09,3852.93,4098.462667,3935.1381,-6.177805,-2.111208,-1.150397,0.483913,-14.213282,2.216755,-2.706771
2018-04-10,3927.17,4094.936333,3937.13,-4.183211,-0.253297,-4.652596,-0.872358,-15.445544,0.284429,-4.546022
2018-04-11,3938.34,4091.239333,3939.2279,-3.808862,-0.022542,-4.467154,-1.677123,-12.972775,-1.008039,-4.81675
2018-04-12,3898.64,4086.395,3940.95275,-4.703539,-1.079473,-2.251576,0.2728,-11.718813,0.273172,-3.847496
2018-04-13,3871.14,4080.783833,3942.576,-5.274005,-1.828528,-2.890404,1.358799,-12.756135,1.368072,-3.164443
2018-04-16,3808.86,4074.171667,3943.6805,-6.733752,-3.478449,-1.122888,2.180904,-8.999309,3.025577,-1.58105
2018-04-17,3748.64,4066.232333,3944.472,-8.132375,-5.0922,2.49877,3.032275,-7.072089,4.680631,0.182733
2018-04-18,3766.28,4058.583,3945.189,-7.474612,-4.640908,1.643754,3.567308,-8.133106,4.190342,-0.28649
2018-04-19,3811.84,4051.139167,3945.90775,-6.088611,-3.456702,-1.489324,2.829592,-9.991751,2.945034,-1.478289
